"Kommissare","Stadt","Bundesland","Land"
"Veigl","München","Bayern","Deutschland"
"Sander","Frankfurt","Hessen","Deutschland"
"Sänger und Dellwo","Frankfurt","Hessen","Deutschland"
"Brinkmann","Frankfurt","Hessen","Deutschland"
"Daniel Kossik","Dortmund","Nordrhein-Westfalen","Deutschland"
"Bergmann","Frankfurt","Hessen","Deutschland"
"Frieda Jung","Kiel","Schleswig-Holstein","Deutschland"
"Sarah Brandt","Kiel","Schleswig-Holstein","Deutschland"
"Passini","Wien","Wien","Österreich"
"Pfeiffer","Wien","Wien","Österreich"
"Kreutzer","Essen","Nordrhein-Westfalen","Deutschland"
"Conny Mey","Frankfurt","Hessen","Deutschland"
"Marek","Wien","Wien","Österreich"
"Lürsen und Stedefreund","Bremen","Bremen","Deutschland"
"Felber","Frankfurt","Hessen","Deutschland"
"Casstorff und Holicek","Hamburg","Hamburg","Deutschland"
"Till Ritter","Berlin","Berlin","Deutschland"
"Schäfermann","Saarbrücken","Saarland","Deutschland"
"Flemming","Düsseldorf","Nordrhein-Westfalen","Deutschland"
"Stoll","Bremen","Bremen","Deutschland"
"Pflüger","Baden-Baden","Baden-Württemberg","Deutschland"
"Batic und Leitmayr mit Team","München","Bayern","Deutschland"
"Kappl und Deininger","Saarbrücken","Saarland","Deutschland"
"Behnke","Berlin","Berlin","Deutschland"
"Lea Sommer","Hamburg","Hamburg","Deutschland"
"Rullmann","Heppenheim","Hessen","Deutschland"
"Gerber","Baden-Baden","Baden-Württemberg","Deutschland"
"Faber, Bönisch und Dalay","Dortmund","Nordrhein-Westfalen","Deutschland"
"Brandenburg","München","Bayern","Deutschland"
"Nagel","Braunschweig","Niedersachsen","Deutschland"
"Ronke","Stade","Niedersachsen","Deutschland"
"Konrad","Frankfurt","Hessen","Deutschland"
"von Sachsen","Bremen","Bremen","Deutschland"
"Ludwig Lenz","München","Bayern","Deutschland"
"Borowski und Sahin","Kiel","Schleswig-Holstein","Deutschland"
"Berlinger","Freiburg","Baden-Württemberg","Deutschland"
"Falke und Grosz","Hamburg","Hamburg","Deutschland"
"Stellbrink und Marx","Saarbrücken","Saarland","Deutschland"
"Piper","Bremen","Bremen","Deutschland"
"Ehrlicher und Kain","Leipzig und Dresden","Sachsen","Deutschland"
"Carlucci","Bern","Bern","Schweiz"
"Paul Kant und Jakob Varasani","Wien","Wien","Österreich"
"Sieland, Gorniak und Schnabel","Dresden","Sachsen","Deutschland"
"Funck, Schaffert und Grewel","Erfurt","Thüringen","Deutschland"
"Bülow","Berlin","Berlin","Deutschland"
"Delius","Hamburg","Hamburg","Deutschland"
"Schreitle","Stuttgart","Baden-Württemberg","Deutschland"
"Palu","Saarbrücken","Saarland","Deutschland"
"Haferkamp","Essen","Nordrhein-Westfalen","Deutschland"
"Odenthal und Stern","Ludwigshafen","Rheinland-Pfalz","Deutschland"
"Lindholm","Hannover","Niedersachsen","Deutschland"
"Berg und Tobler","Schwarzwald","Baden-Württemberg","Deutschland"
"Martin Schmidt","Berlin","Berlin","Deutschland"
"Dorn und Lessing","Weimar","Thüringen","Deutschland"
"Voss, Ringelhahn, Goldwasser, Fleischer und Schatz","Franken","Bayern","Deutschland"
"Thiel und Boerne","Münster","Niedersachsen","Deutschland"
"Fichtl","Wien","Wien","Österreich"
"Murot","Wiesbaden","Hessen","Deutschland"
"Beck","Lübeck","Schleswig-Holstein","Deutschland"
"Janneke und Brix","Frankfurt","Hessen","Deutschland"
"Becker","Wien","Wien","Österreich"
"Philipp von Burg und Gertsch","Bern","Bern","Schweiz"
"Heinz Brammer","Hannover","Niedersachsen","Deutschland"
"Bienzle","Stuttgart","Baden-Württemberg","Deutschland"
"Finke","Kiel","Schleswig-Holstein","Deutschland"
"Wiegand","Baden-Baden","Baden-Württemberg","Deutschland"
"Enders","Essen","Nordrhein-Westfalen","Deutschland"
"Scherrer","München","Bayern","Deutschland"
"Flückiger und Ritschard","Luzern","Luzern","Schweiz"
"Greve","nordd. Kleinstadt","Schleswig-Holstein","Deutschland"
"Frank Steier","Frankfurt","Hessen","Deutschland"
"Kasulke","Berlin","Berlin","Deutschland"
"Felix Stark","Berlin","Berlin","Deutschland"
"Böck","Bremen","Bremen","Deutschland"
"Kai Perlmann","Konstanz","Baden-Württemberg","Deutschland"
"Eisner und Fellner","Wien","Wien","Österreich"
"Roiter und Zorowski","Berlin","Berlin","Deutschland"
"Kraus","Bremen","Bremen","Deutschland"
"Lannert und Bootz","Stuttgart","Baden-Württemberg","Deutschland"
"Cenk Batu","Hamburg","Hamburg","Deutschland"
"Riedmüller","München","Bayern","Deutschland"
"Kressin","Köln","Nordrhein-Westfalen","Deutschland"
"Rolfs","Frankfurt","Hessen","Deutschland"
"Stoever und Brockmöller","Hamburg","Hamburg","Deutschland"
"Liersdahl","Saarbrücken","Saarland","Deutschland"
"Tschiller und Gümer","Hamburg","Hamburg","Deutschland"
"Christine Lerch","München","Bayern","Deutschland"
"Franz Markowitz","Berlin","Berlin","Deutschland"
"Howald","Bern","Bern","Schweiz"
"Trimmel","Hamburg","Hamburg","Deutschland"
"Eva Saalfeld und Andreas Keppler","Leipzig","Sachsen","Deutschland"
"Ballauf und Schenk","Köln","Nordrhein-Westfalen","Deutschland"
"Lutz","Stuttgart","Baden-Württemberg","Deutschland"
"Dietze","Frankfurt","Hessen","Deutschland"
"Walther","Berlin","Berlin","Deutschland"
"Marianne Buchmüller","Mainz","Rheinland-Pfalz","Deutschland"
"Schnoor","Bremerhaven","Bremen","Deutschland"
"Robert Hellmann","Berlin","Berlin","Deutschland"
"Hirth","Wien","Wien","Österreich"
"Klara Blum","Konstanz","Baden-Württemberg","Deutschland"
"Schimanski und Thanner","Duisburg","Nordrhein-Westfalen","Deutschland"
"Rubin und Karow","Berlin","Berlin","Deutschland"
