"Folge","Titel","Sender","Erstausstrahlung","Ermittler","Fall","Autor","Regie","Besonderheiten"
1,"Taxi nach Leipzig","NDR","29.11.1970","Trimmel",1,"Friedhelm Werremeier,Peter Schulze-Rohr","Peter Schulze-Rohr","Erst nach der Fertigstellung zum Tatort umgewidmet."
2,"Saarbrücken, an einem Montag …","SR","13.12.1970","Liersdahl und Schäfermann",1,"Johannes Niem","Karl-Heinz Bieber","Erst nach der Fertigstellung zum Tatort umgewidmet."
3,"Kressin und der tote Mann im Fleet","WDR","10.1.1971","Kressin",1,"Wolfgang Menge","Peter Beauvais",""
4,"Auf offener Straße","SDR","07.2.1971","Lutz",1,"Leonie Ossowski, Gunther Solowjew","Theo Mezger","Lutz ermittelt in Mannheim"
5,"Kressin und der Laster nach Lüttich","WDR","07.3.1971","Kressin",2,"Wolfgang Menge","Tom Toelle",""
6,"Frankfurter Gold","HR","04.4.1971","Konrad",1,"Eberhard Fechner","Eberhard Fechner",""
7,"Kressin stoppt den Nordexpress","WDR","02.5.1971","Kressin",3,"Wolfgang Menge","Rolf von Sydow",""
8,"Blechschaden","NDR","13.6.1971","Finke",1,"Herbert Lichtenfeld","Wolfgang Petersen","Mit Götz George in einer Hauptrolle, 10 Jahre vor seinem ersten Auftritt als Tatort-Kommissar Schimanski."
9,"Exklusiv!","NDR","11.7.1971","Trimmel",2,"Friedhelm Werremeier","Peter Schulze-Rohr","Bereits 1969 ausgestrahlt, 1971 nachträglich zum Tatort umgewidmet"
10,"AE612 ohne Landeerlaubnis","NDR","12.9.1971","Trimmel",3,"Friedhelm Werremeier","Peter Schulze-Rohr",""
11,"Der Richter in Weiss","NDR","10.10.1971","Trimmel",4,"Friedhelm Werremeier","Peter Schulze-Rohr","Mit 119:19 Minuten der bis heute längste Tatort"
12,"Mordverdacht","ORF","07.11.1971","Marek",1,"Fritz Eckhardt","Walter Davy","Mit Paul Hörbiger"
13,"Der Boss","SFB","19.12.1971","Kasulke",1,"Johannes Hendrich","Heinz Schirk","Mit 56:18 Minuten der bis heute kürzeste Tatort"
14,"Münchner Kindl","BR","09.1.1972","Veigl",1,"Michael Kehlmann, Carl Merz","Michael Kehlmann","Ungewöhnlicher Einstieg in die Folge – der Vorspann erfolgt nach einem Gastauftritt des Tagesschausprechers Werner Veigel"
15,"Wenn Steine sprechen","SWF","13.2.1972","Pflüger",1,"Bruno Hampel","Erich Neureuther","Einziger Fall dieses Ermittlers."
16,"Der Fall Geisterbahn","HR","12.3.1972","Konrad",2,"Hansjörg Martin, Hans Dieter Schwarze","Hans Dieter Schwarze","Wegen unklarer Lizenzrechte nach Konkurs der Produktionsfirma nicht wiederholt"
